appliance: ['microwave', 'refrigerator', 'dishwasher', 'toaster', 'oven', 0.30, 'kitchen']
armchair: ['chair', 'couch', 'ottoman', 'recliner', 0.45, 'living room']
coffee machine: ['appliance', 'microwave', 'kitchen appliance', 'printer', 0.35, 'kitchen']
coffee table: ['table', 'dining table', 'desk', 'cabinet table', 0.42, 'living room']
computer: ['monitor', 'tv', 'printer', 'box', 0.35, 'everywhere']
computer chair: ['office chair', 'desk chair', 'chair', 'stool', 0.42, 'everywhere']
computer desk: ['desk', 'table', 'dining table', 'cabinet table', 0.42, 'everywhere']
container: ['box', 'basket', 'case', 'bowl of fruit', 0.28, 'everywhere']
cooker: ['oven', 'stove', 'kitchen appliance', 'microwave', 0.45, 'kitchen']
couch: ['armchair', 'sofa chair', 'bed', 'sofa set', 0.55, 'living room']
countertop: ['kitchen counter', 'worktop', 'bathroom counter', 'table', 0.40, 'kitchen']
crib: ['bed', 'bedframe', 'cabinet', 'box', 0.45, 'bedroom']
curtain: ['window curtain', 'blinds', 'window shade', 'cloth', 0.35, 'everywhere']
curtain rod: ['clothes hanger rod', 'railing', 'rack', 'handrail', 0.30, 'everywhere']
cushion: ['pillow', 'throw blanket', 'cloth', 'ottoman', 0.28, 'everywhere']
decorative plant: ['plant', 'flowerpot', 'vase', 'flower vase', 0.35, 'everywhere']
desk: ['table', 'computer desk', 'dining table', 'cabinet table', 0.42, 'everywhere']
desk chair: ['office chair', 'computer chair', 'chair', 'stool', 0.42, 'everywhere']
dining chair: ['chair', 'office chair', 'bar chair', 'stool', 0.40, 'kitchen']
dining table: ['table', 'coffee table', 'desk', 'cabinet table', 0.45, 'kitchen']
dishwasher: ['oven', 'refrigerator', 'washing machine', 'kitchen appliance', 0.48, 'kitchen']
display cabinet: ['cabinet', 'bookshelf', 'closet', 'dresser', 0.45, 'living room']
drawer: ['cabinet', 'dresser', 'nightstand', 'chest of drawers', 0.38, 'everywhere']
dresser: ['cabinet', 'chest of drawers', 'closet', 'nightstand', 0.45, 'bedroom']
electric box: ['boiler', 'appliance', 'cabinet', 'container', 0.35, 'everywhere']
exercise bike: ['bicycle', 'exercise equipment', 'chair', 'stool', 0.45, 'everywhere']
exercise equipment: ['exercise bike', 'bicycle', 'footrest', 'ottoman', 0.38, 'everywhere']
file cabinet: ['cabinet', 'dresser', 'drawer', 'bookshelf', 0.45, 'everywhere']
fire extinguisher: ['boiler', 'container', 'appliance', 'box', 0.35, 'everywhere']
fireplace: ['heater', 'oven', 'stove', 'radiator', 0.50, 'living room']
flag: ['curtain', 'cloth', 'picture', 'blanket', 0.28, 'everywhere']
flower vase: ['vase', 'flowerpot', 'decorative plant', 'container', 0.30, 'everywhere']
flowerpot: ['vase', 'flower vase', 'decorative plant', 'container', 0.30, 'everywhere']
folding chair: ['chair', 'stool', 'bench', 'dining chair', 0.35, 'everywhere']
food: ['bowl of fruit', 'container', 'box', 'plush toy', 0.25, 'kitchen']
footrest: ['ottoman', 'footstool', 'stool', 'cushion', 0.32, 'living room']
footstool: ['footrest', 'ottoman', 'stool', 'cushion', 0.32, 'living room']
freezer: ['refrigerator', 'refrigerator cabinet', 'dishwasher', 'cabinet', 0.48, 'kitchen']
furnace: ['boiler', 'water heater', 'heater', 'radiator', 0.42, 'everywhere']
glass: ['vase', 'bowl of fruit', 'container', 'flower vase', 0.25, 'kitchen']
guitar: ['statue', 'ironing board', 'exercise equipment', 'piano', 0.40, 'living room']
handbag: ['backpack', 'bag', 'suitcase', 'box', 0.30, 'everywhere']
handrail: ['railing', 'balustrade', 'stairs railing', 'curtain rod', 0.38, 'everywhere']
hanger: ['clothes hanger rod', 'clothes rack', 'rack', 'curtain rod', 0.28, 'bedroom']
hanging clothes: ['clothes', 'cloth', 'curtain', 'towel', 0.28, 'bedroom']
heater: ['radiator', 'boiler', 'furnace', 'water heater', 0.40, 'everywhere']
high shelf: ['shelf', 'closet shelf', 'bookshelf', 'rack', 0.35, 'everywhere']
iron board: ['ironing board', 'table', 'desk', 'folding chair', 0.32, 'everywhere']
ironing board: ['iron board', 'table', 'desk', 'folding chair', 0.32, 'everywhere']
island: ['kitchen island', 'countertop', 'cabinet table', 'worktop', 0.45, 'kitchen']
kitchen appliance: ['appliance', 'microwave', 'refrigerator', 'dishwasher', 0.35, 'kitchen']
kitchen cabinet: ['cabinet', 'kitchen lower cabinet', 'dresser', 'sink cabinet', 0.45, 'kitchen']
kitchen counter: ['countertop', 'kitchen countertop items', 'worktop', 'bathroom counter', 0.42, 'kitchen']
kitchen countertop items: ['kitchen counter', 'countertop', 'container', 'box', 0.28, 'kitchen']
kitchen island: ['island', 'countertop', 'cabinet table', 'worktop', 0.45, 'kitchen']
kitchen lower cabinet: ['kitchen cabinet', 'cabinet', 'sink cabinet', 'drawer', 0.42, 'kitchen']
kitchen shelf: ['shelf', 'closet shelf', 'high shelf', 'rack', 0.35, 'kitchen']
lamp: ['table lamp', 'bedside lamp', 'desk chair', 'lamp table', 0.35, 'everywhere']
lamp table: ['bed table', 'table', 'nightstand', 'cabinet table', 0.38, 'bedroom']
mantle: ['fireplace', 'shelf', 'countertop', 'high shelf', 0.38, 'living room']
microwave: ['oven', 'toaster', 'kitchen appliance', 'dishwasher', 0.45, 'kitchen']
mirror: ['picture', 'tv', 'monitor', 'photo', 0.35, 'everywhere']
monitor: ['tv', 'computer', 'mirror', 'picture', 0.38, 'everywhere']
nightstand: ['dresser', 'cabinet', 'bed table', 'chest of drawers', 0.42, 'bedroom']
note: ['book', 'photo', 'calendar', 'board', 0.25, 'everywhere']
office chair: ['computer chair', 'desk chair', 'chair', 'stool', 0.42, 'everywhere']
ottoman: ['footrest', 'footstool', 'armchair', 'cushion', 0.35, 'living room']
oven: ['cooker', 'stove', 'microwave', 'oven and stove', 0.48, 'kitchen']
oven and stove: ['oven', 'cooker', 'stove', 'kitchen appliance', 0.48, 'kitchen']
parapet: ['railing', 'balustrade', 'handrail', 'stairs railing', 0.38, 'everywhere']
photo: ['picture', 'photo mount', 'calendar', 'note', 0.28, 'everywhere']
photo mount: ['photo', 'picture', 'mirror', 'calendar', 0.28, 'everywhere']
piano: ['cabinet table', 'desk', 'guitar', 'dresser', 0.48, 'living room']
picture: ['photo', 'photo mount', 'mirror', 'calendar', 0.28, 'everywhere']
pillar: ['support beam', 'stairs railing', 'statue', 'parapet', 0.40, 'everywhere']
pillow: ['cushion', 'throw blanket', 'bag', 'cloth', 0.28, 'bedroom']
plant: ['decorative plant', 'flowerpot', 'flower vase', 'christmas tree', 0.32, 'everywhere']
plush toy: ['toy', 'pillow', 'cushion', 'bag', 0.25, 'bedroom']
printer: ['computer', 'box', 'coffee machine', 'monitor', 0.35, 'everywhere']
rack: ['shelf', 'clothes rack', 'high shelf', 'closet shelf', 0.32, 'everywhere']
radiator: ['heater', 'boiler', 'furnace', 'water heater', 0.40, 'everywhere']
refrigerator: ['freezer', 'refrigerator cabinet', 'dishwasher', 'cabinet', 0.50, 'kitchen']
refrigerator cabinet: ['refrigerator', 'cabinet', 'freezer', 'kitchen cabinet', 0.45, 'kitchen']
rug: ['carpet', 'blanket', 'cloth', 'curtain', 0.32, 'everywhere']
shelf: ['bookshelf', 'closet shelf', 'high shelf', 'rack', 0.38, 'everywhere']
shower: ['bathtub', 'shower cabin', 'shower tub', 'bathtub platform', 0.50, 'bathroom']
shower cabin: ['shower', 'shower tub', 'bathtub', 'shower glass', 0.48, 'bathroom']
shower curtain: ['curtain', 'window curtain', 'shower glass', 'cloth', 0.32, 'bathroom']
shower dial: ['shower rail', 'shower soap shelf', 'handrail', 'heater', 0.28, 'bathroom']
shower glass: ['shower cabin', 'shower curtain', 'mirror', 'window glass', 0.35, 'bathroom']
shower rail: ['handrail', 'curtain rod', 'rack', 'shower dial', 0.30, 'bathroom']
shower soap shelf: ['shelf', 'shower rail', 'high shelf', 'rack', 0.28, 'bathroom']
shower tub: ['bathtub', 'shower', 'shower cabin', 'bathtub platform', 0.48, 'bathroom']
sideboard: ['cabinet', 'dresser', 'display cabinet', 'chest of drawers', 0.45, 'living room']
sink: ['bath sink', 'washbasin', 'countertop', 'bathtub', 0.48, 'kitchen']
sink cabinet: ['cabinet', 'bath cabinet', 'kitchen cabinet', 'drawer', 0.42, 'kitchen']
sofa chair: ['couch', 'armchair', 'ottoman', 'sofa set', 0.50, 'living room']
sofa seat: ['sofa chair', 'couch', 'armchair', 'sofa set', 0.48, 'living room']
sofa set: ['couch', 'sofa chair', 'sofa seat', 'armchair', 0.50, 'living room']
spa bench: ['bench', 'ottoman', 'footstool', 'footrest', 0.35, 'bathroom']
speaker: ['box', 'printer', 'computer', 'container', 0.30, 'everywhere']
stair: ['staircase handrail', 'stairs railing', 'pillar', 'support beam', 0.42, 'everywhere']
staircase handrail: ['handrail', 'stairs railing', 'railing', 'balustrade', 0.38, 'everywhere']
stairs railing: ['staircase handrail', 'railing', 'balustrade', 'handrail', 0.38, 'everywhere']
statue: ['vase', 'plant', 'guitar', 'picture', 0.38, 'everywhere']
stool: ['chair', 'bar chair', 'bench', 'footstool', 0.35, 'everywhere']
storage shelving: ['shelf', 'bookshelf', 'rack', 'high shelf', 0.38, 'everywhere']
stove: ['oven', 'cooker', 'oven and stove', 'kitchen appliance', 0.48, 'kitchen']
support beam: ['pillar', 'stairs railing', 'parapet', 'balustrade', 0.40, 'everywhere']
table: ['dining table', 'coffee table', 'desk', 'cabinet table', 0.42, 'everywhere']
table lamp: ['lamp', 'bedside lamp', 'desk chair', 'lamp table', 0.32, 'everywhere']
tablecloth: ['bed sheet', 'cloth', 'curtain', 'blanket', 0.28, 'kitchen']
throw blanket: ['blanket', 'cushion', 'pillow', 'cloth', 0.28, 'living room']
toilet: ['sink', 'bathtub', 'washbasin', 'chair', 0.48, 'bathroom']
towel: ['bath towel', 'bathroom towel', 'cloth', 'bathrobe', 0.25, 'bathroom']
toy: ['plush toy', 'box', 'statue', 'container', 0.25, 'bedroom']
tv: ['monitor', 'mirror', 'picture', 'computer', 0.42, 'living room']
tv stand: ['cabinet', 'dresser', 'cabinet table', 'sideboard', 0.42, 'living room']
vase: ['flower vase', 'flowerpot', 'decorative plant', 'container', 0.30, 'everywhere']
wardrobe: ['closet', 'cabinet', 'dresser', 'chest of drawers', 0.48, 'bedroom']
washbasin: ['sink', 'bath sink', 'countertop', 'bathtub', 0.48, 'bathroom']
washer-dryer: ['washing machine', 'clothes dryer', 'dishwasher', 'appliance', 0.48, 'everywhere']
washing machine: ['washer-dryer', 'clothes dryer', 'dishwasher', 'appliance', 0.48, 'everywhere']
water heater: ['boiler', 'furnace', 'heater', 'radiator', 0.42, 'everywhere']
window: ['window frame', 'window glass', 'mirror', 'picture', 0.35, 'everywhere']
window curtain: ['curtain', 'blinds', 'window shade', 'window shutter', 0.35, 'everywhere']
window frame: ['window', 'window glass', 'picture', 'mirror', 0.32, 'everywhere']
window glass: ['window', 'window frame', 'mirror', 'shower glass', 0.32, 'everywhere']
window shade: ['blinds', 'window curtain', 'curtain', 'window shutter', 0.32, 'everywhere']
window shutter: ['blinds', 'window shade', 'window curtain', 'curtain', 0.32, 'everywhere']
worktop: ['countertop', 'kitchen counter', 'bathroom counter', 'table', 0.40, 'kitchen']
